"","Date","Month","Year","Site.Name","COUNTY","lat_mean","lon_mean","PM2.5","Ozone"
"1",2020-01-01,1,2020,"Bryson City","Swain",35.434767,-83.442133,29.5,NA
"2",2020-01-01,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,13.5,NA
"3",2020-01-01,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,24,NA
"4",2020-01-01,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,33,NA
"5",2020-01-01,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,47
"6",2020-01-01,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,21.3333333333333,28
"7",2020-01-01,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,22,NA
"8",2020-01-01,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,11,NA
"9",2020-01-01,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,13,NA
"10",2020-01-01,1,2020,"Millbrook School","Wake",35.856111,-78.574167,30.6666666666667,32.5
"11",2020-01-01,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,16.5,NA
"12",2020-01-01,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,23,26
"13",2020-01-02,1,2020,"Bryson City","Swain",35.434767,-83.442133,39,NA
"14",2020-01-02,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,13,NA
"15",2020-01-02,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,35,NA
"16",2020-01-02,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,37.3333333333333,NA
"17",2020-01-02,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,7,44
"18",2020-01-02,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,33,25
"19",2020-01-02,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,25,NA
"20",2020-01-02,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,15,NA
"21",2020-01-02,1,2020,"Linville Falls","Avery",35.972347,-81.933072,12,NA
"22",2020-01-02,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,11,NA
"23",2020-01-02,1,2020,"Millbrook School","Wake",35.856111,-78.574167,36.5,28
"24",2020-01-02,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,23,NA
"25",2020-01-02,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,26.5,25
"26",2020-01-03,1,2020,"Bryson City","Swain",35.434767,-83.442133,31,NA
"27",2020-01-03,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,18,NA
"28",2020-01-03,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,42.6666666666667,NA
"29",2020-01-03,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,41.3333333333333,NA
"30",2020-01-03,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,36
"31",2020-01-03,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,33,16.5
"32",2020-01-03,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,35.3333333333333,NA
"33",2020-01-03,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,19,NA
"34",2020-01-03,1,2020,"Linville Falls","Avery",35.972347,-81.933072,7,NA
"35",2020-01-03,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,40,NA
"36",2020-01-03,1,2020,"Millbrook School","Wake",35.856111,-78.574167,42.75,22
"37",2020-01-03,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,23.3333333333333,NA
"38",2020-01-03,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,35,18
"39",2020-01-04,1,2020,"Bryson City","Swain",35.434767,-83.442133,21.5,NA
"40",2020-01-04,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,19,NA
"41",2020-01-04,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,39,NA
"42",2020-01-04,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,38.5,NA
"43",2020-01-04,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,34
"44",2020-01-04,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,18.3333333333333,26
"45",2020-01-04,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,32,NA
"46",2020-01-04,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,19.5,NA
"47",2020-01-04,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,21.5,NA
"48",2020-01-04,1,2020,"Millbrook School","Wake",35.856111,-78.574167,38.6666666666667,28
"49",2020-01-04,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,24.5,NA
"50",2020-01-04,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,26,23
"51",2020-01-05,1,2020,"Bryson City","Swain",35.434767,-83.442133,21.5,NA
"52",2020-01-05,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,10,NA
"53",2020-01-05,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,25,NA
"54",2020-01-05,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,30,NA
"55",2020-01-05,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,13,39
"56",2020-01-05,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,20,30.5
"57",2020-01-05,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,22.3333333333333,NA
"58",2020-01-05,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,6,NA
"59",2020-01-05,1,2020,"Linville Falls","Avery",35.972347,-81.933072,15,NA
"60",2020-01-05,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,14,NA
"61",2020-01-05,1,2020,"Millbrook School","Wake",35.856111,-78.574167,28.75,34.5
"62",2020-01-05,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,16.6666666666667,NA
"63",2020-01-05,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,20,34
